model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,2,,60,1.0,,"[0.1595, 0.0004]","[0.1075, 0.0004]","[0.1008, 0.0003]","[0.0955, 0.0003]","[0.1176, 0.0005]","[0.0768, 0.0002]","[0.0885, 0.0003]","[0.0805, 0.0004]","[0.1089, 0.0005]","[0.1332, 0.0005]","[0.0464, 0.0003]","[0.2361, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,2,,60,1.1,,"[0.1617, 0.0004]","[0.1067, 0.0004]","[0.1002, 0.0003]","[0.0952, 0.0003]","[0.1166, 0.0005]","[0.0769, 0.0002]","[0.0876, 0.0003]","[0.0813, 0.0004]","[0.1105, 0.0005]","[0.136, 0.0005]","[0.0468, 0.0003]","[0.2436, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,2,,40,0.9,,"[0.1566, 0.0004]","[0.105, 0.0004]","[0.0984, 0.0003]","[0.0932, 0.0003]","[0.1148, 0.0005]","[0.0753, 0.0002]","[0.0862, 0.0003]","[0.0786, 0.0004]","[0.1065, 0.0005]","[0.1305, 0.0005]","[0.0452, 0.0003]","[0.2334, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,2,,40,1.0,,"[0.1513, 0.0004]","[0.1022, 0.0004]","[0.0958, 0.0003]","[0.0909, 0.0003]","[0.1124, 0.0005]","[0.0738, 0.0002]","[0.0834, 0.0003]","[0.0744, 0.0004]","[0.1009, 0.0005]","[0.124, 0.0005]","[0.0432, 0.0003]","[0.2239, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,2,,40,1.1,,"[0.156, 0.0004]","[0.1048, 0.0004]","[0.0983, 0.0003]","[0.0933, 0.0003]","[0.1146, 0.0005]","[0.0755, 0.0002]","[0.0859, 0.0003]","[0.078, 0.0004]","[0.1057, 0.0005]","[0.1299, 0.0005]","[0.0453, 0.0003]","[0.232, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,0.0001,2,,40,0.9,,"[0.1534, 0.0004]","[0.1036, 0.0004]","[0.097, 0.0003]","[0.0919, 0.0003]","[0.1136, 0.0005]","[0.0744, 0.0002]","[0.0847, 0.0003]","[0.0764, 0.0004]","[0.1031, 0.0005]","[0.1262, 0.0005]","[0.0442, 0.0003]","[0.2273, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,0.0001,2,,40,1.0,,"[0.1531, 0.0004]","[0.1045, 0.0004]","[0.0977, 0.0003]","[0.0925, 0.0003]","[0.1147, 0.0005]","[0.0744, 0.0002]","[0.0861, 0.0003]","[0.0771, 0.0004]","[0.1037, 0.0005]","[0.1262, 0.0005]","[0.0451, 0.0003]","[0.2231, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,5e-05,1,,40,0.9,,"[0.1627, 0.0004]","[0.106, 0.0004]","[0.1, 0.0003]","[0.0952, 0.0003]","[0.1147, 0.0005]","[0.077, 0.0002]","[0.0873, 0.0003]","[0.081, 0.0004]","[0.1107, 0.0005]","[0.137, 0.0005]","[0.0461, 0.0003]","[0.2476, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,5e-05,1,,40,1.0,,"[0.1633, 0.0004]","[0.1059, 0.0004]","[0.1, 0.0003]","[0.0953, 0.0003]","[0.1152, 0.0005]","[0.0777, 0.0002]","[0.0878, 0.0003]","[0.0807, 0.0004]","[0.1103, 0.0005]","[0.1365, 0.0005]","[0.0467, 0.0003]","[0.2483, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,5e-05,1,,40,1.1,,"[0.1645, 0.0004]","[0.1048, 0.0004]","[0.0991, 0.0003]","[0.0949, 0.0003]","[0.1141, 0.0005]","[0.0779, 0.0002]","[0.0872, 0.0003]","[0.0809, 0.0004]","[0.111, 0.0005]","[0.1378, 0.0006]","[0.0469, 0.0003]","[0.2525, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,5,,60,0.9,,"[0.1535, 0.0004]","[0.1028, 0.0004]","[0.0965, 0.0003]","[0.0917, 0.0003]","[0.1118, 0.0005]","[0.0746, 0.0002]","[0.0849, 0.0003]","[0.0768, 0.0004]","[0.1039, 0.0005]","[0.1275, 0.0005]","[0.0442, 0.0003]","[0.2289, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,5,,60,1.0,,"[0.151, 0.0004]","[0.101, 0.0004]","[0.095, 0.0003]","[0.0904, 0.0003]","[0.1099, 0.0005]","[0.0737, 0.0002]","[0.0838, 0.0003]","[0.0749, 0.0004]","[0.1016, 0.0005]","[0.1246, 0.0005]","[0.0433, 0.0003]","[0.2244, 0.0006]"
